R,Team,Left Side,Middle of the pitch,Right Side
1,Freiburg,40%,31%,29%
2,Mainz 05,39%,31%,31%
3,FC Koln,39%,30%,31%
4,Werder Bremen,38%,23%,39%
5,Hoffenheim,38%,31%,31%
6,Schalke 04,37%,25%,38%
7,Eintracht Frankfurt,37%,28%,35%
8,Borussia Dortmund,37%,28%,35%
9,Augsburg,37%,27%,36%
10,RB Leipzig,36%,27%,37%
11,Wolfsburg,35%,25%,40%
12,Hamburger SV,35%,25%,39%
13,Bayern Munich,35%,31%,34%
14,VfB Stuttgart,34%,29%,37%
15,Hannover 96,34%,28%,38%
16,Bayer Leverkusen,33%,24%,43%
17,Hertha Berlin,33%,26%,41%
18,Borussia M.Gladbach,32%,26%,42%
