R,Team,Left Side,Attempts from the middle,Right Side
1,VfB Stuttgart,22%,64%,14%
2,Hoffenheim,22%,66%,12%
3,Bayer Leverkusen,21%,67%,13%
4,Eintracht Frankfurt,21%,62%,17%
5,Werder Bremen,21%,66%,13%
6,Schalke 04,19%,65%,17%
7,FC Koln,19%,64%,17%
8,Hamburger SV,18%,64%,18%
9,Mainz 05,18%,68%,13%
10,Bayern Munich,17%,65%,19%
11,Borussia Dortmund,17%,65%,17%
12,Wolfsburg,16%,65%,19%
13,Freiburg,16%,70%,14%
14,Augsburg,16%,68%,16%
15,RB Leipzig,16%,67%,17%
16,Borussia M.Gladbach,15%,70%,15%
17,Hannover 96,15%,68%,17%
18,Hertha Berlin,14%,71%,15%
