R,Team,Own Third,Middle Third,Opposition Third
1,Wolfsburg,29%,47%,24%
2,Hannover 96,29%,45%,24%
3,Freiburg,29%,46%,26%
4,Augsburg,29%,45%,26%
5,Hoffenheim,29%,46%,26%
6,FC Koln,28%,46%,25%
7,VfB Stuttgart,27%,47%,26%
8,Borussia M.Gladbach,27%,47%,25%
9,Mainz 05,27%,46%,27%
10,Hertha Berlin,27%,49%,23%
11,Hamburger SV,26%,46%,28%
12,Werder Bremen,26%,48%,26%
13,Schalke 04,25%,49%,26%
14,Eintracht Frankfurt,25%,48%,27%
15,Bayer Leverkusen,24%,48%,28%
16,Borussia Dortmund,24%,47%,29%
17,RB Leipzig,24%,48%,28%
18,Bayern Munich,23%,46%,33%
