R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,FC Koln,40,8,14,8,0
2,Freiburg,35,2,11,4,4
3,Hamburger SV,33,6,10,3,1
4,Wolfsburg,30,2,8,6,2
5,Borussia M.Gladbach,29,6,12,4,1
6,RB Leipzig,29,5,14,5,0
7,Borussia Dortmund,28,7,9,3,0
8,Hannover 96,27,6,19,2,0
9,Hoffenheim,27,3,13,3,2
10,Bayer Leverkusen,26,3,10,5,0
11,Mainz 05,26,2,18,5,1
12,Hertha Berlin,26,2,11,6,1
13,Werder Bremen,26,2,8,2,2
14,Schalke 04,23,2,8,3,1
15,VfB Stuttgart,22,1,9,4,0
16,Eintracht Frankfurt,22,6,13,2,2
17,Augsburg,20,6,18,2,0
18,Bayern Munich,16,2,6,1,3
