Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,8.5,17.9,10.4,10.8,2,7.13
2. Schalke 04,11.1,21.2,14.6,16.1,2.4,6.88
3. Borussia Dortmund,10.8,20.4,9.9,11.9,2.4,6.87
4. Bayer Leverkusen,10.3,19,11.5,13.3,1.7,6.84
5. RB Leipzig,11.3,20.5,11.7,13.3,2.6,6.84
6. Hoffenheim,12.7,20.2,10.1,14.9,2.3,6.82
7. Borussia M.Gladbach,14.9,19.9,11.3,11.7,2.1,6.77
8. VfB Stuttgart,13,20.5,12.2,13.6,2.1,6.75
9. Eintracht Frankfurt,11.7,18.3,12,15.5,2.5,6.75
10. Augsburg,13.8,21.3,11.8,14.4,2.1,6.75
11. Hertha Berlin,12.9,19.3,11.4,14.5,1.4,6.74
12. Hannover 96,14.6,19.6,11.2,14.3,1.6,6.73
13. Werder Bremen,12.4,17.6,12.4,15.4,2,6.71
14. Mainz 05,12.9,20.6,11.8,15.6,2,6.68
15. Wolfsburg,13.6,17.3,11.9,13.1,1.7,6.67
16. Freiburg,14.4,18.8,11.5,13.1,1.2,6.63
17. Hamburger SV,13.1,21.4,10.8,14.7,1.8,6.60
18. FC Koln,15.7,19.9,11.4,14.1,2.4,6.60
