R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Wolfsburg,8%,56%,36%
2,Schalke 04,8%,51%,41%
3,Hamburger SV,8%,57%,35%
4,Borussia M.Gladbach,8%,54%,38%
5,Freiburg,7%,53%,40%
6,Hannover 96,7%,51%,42%
7,Hoffenheim,7%,54%,39%
8,FC Koln,7%,59%,34%
9,RB Leipzig,7%,61%,32%
10,Bayer Leverkusen,6%,54%,40%
11,Bayern Munich,6%,49%,44%
12,VfB Stuttgart,6%,54%,40%
13,Borussia Dortmund,6%,59%,35%
14,Eintracht Frankfurt,6%,57%,37%
15,Werder Bremen,5%,55%,40%
16,Mainz 05,5%,56%,38%
17,Augsburg,4%,55%,41%
18,Hertha Berlin,3%,60%,36%
