Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,92,17.7,420,62.4,87.6,15.9,7.13
2. Schalke 04,53,11.9,642,47.9,79.0,17.7,6.88
3. Borussia Dortmund,64,14.3,393,56.9,82.7,17.8,6.87
4. Bayer Leverkusen,58,15,554,53.5,81.2,17.3,6.84
5. RB Leipzig,57,14.4,426,53.8,79.3,19.9,6.84
6. Hoffenheim,66,14,710,50.6,81.5,14.2,6.82
7. Borussia M.Gladbach,47,13.4,470,51.4,81.6,16.4,6.77
8. VfB Stuttgart,36,10.7,552,47.3,77.1,20.2,6.75
9. Eintracht Frankfurt,45,11.5,722,48.8,75.7,21,6.75
10. Augsburg,43,12.8,662,46.7,73.2,21.7,6.75
11. Hertha Berlin,43,9.4,493,47.0,76.6,21.3,6.74
12. Hannover 96,44,12.8,630,47.9,73.7,24.8,6.73
13. Werder Bremen,37,12.9,550,47.6,76.1,20.2,6.71
14. Mainz 05,38,12.2,593,46.0,74.3,21.4,6.68
15. Wolfsburg,36,10.4,556,49.6,79.3,18.6,6.67
16. Freiburg,32,11.3,505,45.8,74.8,22.1,6.63
17. Hamburger SV,29,11.6,574,48.9,73.3,20.9,6.60
18. FC Koln,35,11.4,681,47.9,77.1,20.4,6.60
