R,Team,Left Side,Attempts from the middle,Right Side
1,Freiburg,22%,60%,18%
2,RB Leipzig,22%,61%,17%
3,Schalke 04,21%,64%,15%
4,Mainz 05,21%,65%,14%
5,Eintracht Frankfurt,20%,64%,16%
6,Hamburger SV,19%,66%,15%
7,Augsburg,19%,65%,17%
8,Bayer Leverkusen,18%,59%,23%
9,Werder Bremen,18%,68%,14%
10,VfB Stuttgart,18%,65%,17%
11,Hoffenheim,18%,69%,13%
12,FC Koln,18%,69%,13%
13,Bayern Munich,16%,71%,14%
14,Borussia Dortmund,16%,70%,14%
15,Hannover 96,15%,74%,11%
16,Hertha Berlin,14%,71%,15%
17,Wolfsburg,13%,69%,18%
18,Borussia M.Gladbach,13%,67%,20%
