R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Freiburg,21,1,74,442
2,Hertha Berlin,20,0,64,438
3,Schalke 04,17,1,63,431
4,VfB Stuttgart,20,1,67,429
5,Werder Bremen,18,1,68,422
6,Mainz 05,19,0,72,414
7,FC Koln,22,1,62,414
8,Augsburg,17,0,70,404
9,Borussia M.Gladbach,22,1,60,399
10,Wolfsburg,19,1,64,395
11,Hoffenheim,18,0,60,393
12,Hannover 96,20,1,70,392
13,Eintracht Frankfurt,18,0,72,382
14,Bayer Leverkusen,14,0,64,355
15,Hamburger SV,17,1,72,353
16,RB Leipzig,17,1,69,335
17,Borussia Dortmund,16,0,64,312
18,Bayern Munich,10,0,58,279
