Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,17.1,5.4,1.3,10.3,7.19
2. Real Madrid,17.4,5.6,1.8,10.1,7.14
3. Atletico Madrid,13.3,5.4,1.3,6.6,7.02
4. Sevilla,12.8,4.2,0.8,7.8,6.84
5. Villarreal,11.3,4.3,0.8,6.1,6.84
6. Athletic Bilbao,12.8,4.6,0.8,7.3,6.80
7. Real Sociedad,13,5.3,0.6,7.1,6.76
8. Valencia,11.8,4.4,0.9,6.6,6.76
9. Deportivo Alaves,10.4,4,0.6,5.8,6.76
10. Eibar,11.9,5,0.9,5.9,6.75
11. Espanyol,9,3.4,0.4,5.2,6.74
12. Malaga,12.9,5.4,0.8,6.7,6.70
13. Deportivo La Coruna,12.1,5,0.6,6.4,6.69
14. Real Betis,11.6,4.7,0.6,6.3,6.68
15. Celta Vigo,10.6,4.7,0.5,5.4,6.66
16. Las Palmas,11.6,5,0.6,6,6.63
17. Leganes,10.7,4.7,0.7,5.4,6.62
18. Sporting Gijon,9.9,3.8,0.7,5.4,6.58
19. Osasuna,10.3,3.9,0.6,5.8,6.51
20. Granada,10.1,5.4,0.5,4.1,6.50
