R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Osasuna,20,1,72,456
2,Espanyol,21,1,74,433
3,Deportivo Alaves,22,1,67,414
4,Atletico Madrid,17,0,75,412
5,Sporting Gijon,20,1,71,406
6,Villarreal,23,1,64,405
7,Granada,18,1,72,402
8,Leganes,18,1,80,396
9,Deportivo La Coruna,22,1,65,394
10,Valencia,18,1,65,391
11,Real Betis,18,1,65,375
12,Real Madrid,16,1,57,367
13,Malaga,19,1,74,367
14,Eibar,17,1,79,352
15,Athletic Bilbao,15,1,78,347
16,Celta Vigo,17,1,65,345
17,Las Palmas,18,1,59,320
18,Real Sociedad,15,1,67,315
19,Sevilla,15,1,64,295
20,Barcelona,12,1,57,262
