R,Team,Left Side,Middle of the pitch,Right Side
1,Sevilla,41%,22%,37%
2,Atletico Madrid,41%,23%,36%
3,Real Madrid,40%,25%,34%
4,Real Betis,40%,21%,39%
5,Celta Vigo,40%,26%,34%
6,Espanyol,40%,23%,37%
7,Malaga,40%,20%,39%
8,Sporting Gijon,40%,22%,38%
9,Real Sociedad,39%,21%,40%
10,Eibar,39%,20%,40%
11,Villarreal,39%,25%,36%
12,Deportivo La Coruna,38%,21%,41%
13,Barcelona,38%,29%,32%
14,Osasuna,38%,24%,39%
15,Granada,38%,23%,39%
16,Las Palmas,38%,26%,36%
17,Deportivo Alaves,36%,24%,40%
18,Leganes,36%,24%,40%
19,Valencia,35%,27%,38%
20,Athletic Bilbao,31%,24%,44%
