R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Leganes,9%,49%,42%
2,Athletic Bilbao,8%,57%,36%
3,Osasuna,8%,59%,33%
4,Real Sociedad,8%,55%,37%
5,Las Palmas,8%,59%,33%
6,Granada,8%,59%,33%
7,Eibar,8%,56%,36%
8,Valencia,7%,52%,41%
9,Villarreal,7%,55%,38%
10,Real Madrid,6%,55%,39%
11,Deportivo Alaves,6%,50%,44%
12,Deportivo La Coruna,6%,50%,43%
13,Real Betis,6%,52%,42%
14,Espanyol,6%,48%,46%
15,Barcelona,6%,54%,39%
16,Sporting Gijon,6%,55%,39%
17,Sevilla,5%,51%,44%
18,Malaga,5%,58%,37%
19,Celta Vigo,5%,58%,37%
20,Atletico Madrid,4%,52%,45%
