Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,9.4,16.9,11.2,11.1,3.1,7.19
2. Real Madrid,10.6,20.4,13.4,11.1,3.6,7.14
3. Atletico Madrid,11.2,22.3,16.3,13.1,3.1,7.02
4. Sevilla,11.6,19.1,13.2,15.3,3.3,6.84
5. Villarreal,12.9,18.8,14.3,13.4,2.1,6.84
6. Athletic Bilbao,10,21,14.9,13.6,1.9,6.80
7. Valencia,13.2,22.8,15.9,14.6,2.3,6.76
8. Deportivo Alaves,13.3,20.1,14.9,14.2,2.4,6.76
9. Real Sociedad,10.2,16.5,15.8,14,2.2,6.76
10. Eibar,10.7,19.2,17.2,13.6,2.3,6.75
11. Espanyol,11.9,21.6,15.7,14.9,1.6,6.74
12. Malaga,10.9,19.8,17.3,14.4,2.2,6.70
13. Deportivo La Coruna,12.6,19.7,14.5,14.1,1.8,6.69
14. Real Betis,12.3,20.4,15.5,15.1,2.2,6.68
15. Celta Vigo,13.3,20.8,15.8,13.5,2.6,6.66
16. Las Palmas,12.4,16.2,13.2,12.3,2.3,6.63
17. Leganes,10.6,20.4,17.1,16.9,2.3,6.62
18. Sporting Gijon,14.9,20.4,14.4,14.9,2,6.58
19. Osasuna,13.4,19.5,17.2,15,2,6.51
20. Granada,15.3,18,15.7,14.5,1.6,6.50
