R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Osasuna,62,3,22,4,3
2,Granada,60,5,14,2,1
3,Sporting Gijon,52,3,9,7,1
4,Las Palmas,46,2,14,11,1
5,Real Betis,43,4,13,4,0
6,Celta Vigo,42,1,15,9,2
7,Deportivo La Coruna,41,0,15,3,2
8,Real Sociedad,40,1,6,4,2
9,Valencia,38,3,16,6,2
10,Malaga,35,1,13,6,0
11,Leganes,33,4,12,6,0
12,Eibar,32,3,10,5,1
13,Real Madrid,30,3,5,2,1
14,Espanyol,30,4,13,2,1
15,Sevilla,29,1,14,4,1
16,Athletic Bilbao,28,2,12,1,0
17,Deportivo Alaves,26,0,11,4,2
18,Barcelona,20,3,12,0,2
19,Villarreal,19,1,8,5,0
20,Atletico Madrid,15,1,8,3,0
