R,Team,Left Side,Attempts from the middle,Right Side
1,Real Betis,26%,57%,17%
2,Sporting Gijon,25%,63%,12%
3,Barcelona,22%,65%,14%
4,Leganes,22%,61%,17%
5,Deportivo Alaves,21%,64%,16%
6,Granada,21%,59%,20%
7,Eibar,21%,61%,18%
8,Valencia,20%,64%,15%
9,Celta Vigo,20%,60%,20%
10,Sevilla,19%,67%,15%
11,Real Sociedad,19%,66%,16%
12,Atletico Madrid,19%,68%,13%
13,Deportivo La Coruna,18%,60%,23%
14,Las Palmas,18%,64%,18%
15,Espanyol,18%,68%,14%
16,Real Madrid,17%,67%,16%
17,Athletic Bilbao,17%,64%,19%
18,Malaga,17%,58%,26%
19,Osasuna,17%,60%,23%
20,Villarreal,14%,64%,22%
