R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Juventus,53,2,19,4,2
2,Napoli,47,12,10,7,1
3,Inter,46,1,12,0,3
4,Fiorentina,43,4,7,11,0
5,Parma Calcio 1913,39,3,11,3,2
6,Roma,39,10,15,6,2
7,AC Milan,35,2,15,3,2
8,Torino,34,9,9,5,1
9,Lazio,31,4,9,7,3
10,Verona,30,11,11,8,2
11,Genoa,25,0,9,5,2
12,Atalanta,25,6,10,2,0
13,Udinese,25,2,13,6,0
14,Livorno,24,3,6,4,2
15,Cagliari,20,3,6,5,0
16,Sampdoria,20,5,17,4,2
17,Sassuolo,20,5,10,7,1
18,Catania,20,3,8,3,0
19,Chievo,18,2,7,6,1
20,Bologna,14,2,7,5,0
