R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Roma,18,2,62,492
2,Juventus,19,2,63,468
3,Fiorentina,22,2,66,456
4,Napoli,18,2,62,456
5,AC Milan,24,1,76,416
6,Inter,26,1,58,409
7,Parma Calcio 1913,23,1,58,384
8,Cagliari,22,1,64,379
9,Torino,17,2,66,376
10,Lazio,24,1,62,360
11,Udinese,20,2,61,360
12,Atalanta,25,1,56,351
13,Verona,22,1,58,332
14,Genoa,24,1,59,328
15,Sassuolo,21,1,58,322
16,Sampdoria,19,1,58,321
17,Catania,22,1,56,317
18,Bologna,24,1,56,304
19,Chievo,22,1,59,301
20,Livorno,17,1,61,299
