R,Team,Left Side,Attempts from the middle,Right Side
1,Juventus,26%,53%,21%
2,Verona,22%,61%,17%
3,AC Milan,21%,58%,21%
4,Udinese,21%,65%,15%
5,Atalanta,21%,63%,16%
6,Sassuolo,21%,60%,19%
7,Napoli,21%,59%,20%
8,Bologna,20%,57%,23%
9,Sampdoria,20%,66%,14%
10,Roma,20%,63%,17%
11,Fiorentina,19%,61%,20%
12,Inter,19%,63%,19%
13,Lazio,19%,62%,18%
14,Catania,19%,62%,19%
15,Cagliari,18%,63%,19%
16,Chievo,18%,63%,19%
17,Genoa,18%,62%,19%
18,Torino,16%,66%,19%
19,Parma Calcio 1913,16%,62%,22%
20,Livorno,16%,64%,20%
