R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Livorno,8%,50%,42%
2,Cagliari,7%,45%,48%
3,Chievo,7%,48%,44%
4,Bologna,6%,46%,49%
5,Inter,6%,47%,47%
6,Sampdoria,6%,50%,44%
7,Udinese,6%,45%,49%
8,Sassuolo,6%,48%,46%
9,Catania,6%,49%,46%
10,Torino,5%,38%,57%
11,Verona,5%,46%,50%
12,Fiorentina,5%,45%,49%
13,AC Milan,5%,44%,51%
14,Parma Calcio 1913,5%,48%,47%
15,Genoa,5%,47%,48%
16,Lazio,4%,44%,52%
17,Atalanta,4%,42%,55%
18,Napoli,4%,43%,52%
19,Roma,3%,39%,58%
20,Juventus,3%,38%,59%
