R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Sassuolo,47,5,9,6,5
2,Catania,46,4,11,3,2
3,Livorno,44,7,14,10,2
4,Verona,43,4,13,6,2
5,Chievo,37,3,11,1,2
6,Bologna,36,7,8,7,0
7,Lazio,32,5,11,4,2
8,Sampdoria,32,7,15,7,1
9,AC Milan,32,2,9,5,1
10,Atalanta,31,5,9,4,2
11,Genoa,28,4,7,6,1
12,Fiorentina,26,2,9,7,0
13,Cagliari,26,6,15,5,1
14,Udinese,26,9,15,6,1
15,Parma Calcio 1913,25,3,11,7,0
16,Inter,24,5,7,3,0
17,Torino,23,3,14,8,0
18,Napoli,22,2,11,2,2
19,Roma,17,2,4,2,0
20,Juventus,10,3,6,2,2
