Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Roma,15.6,7.4,0.9,7.2,7.09
2. Juventus,15.8,7.5,0.9,7.3,7.09
3. Inter,14.5,6.5,1.3,6.7,7.03
4. Napoli,15.2,7.4,0.7,7.1,7.00
5. Fiorentina,15.2,7.6,0.9,6.7,6.96
6. Parma Calcio 1913,13.1,5.2,1,6.9,6.90
7. AC Milan,16.2,8.6,0.8,6.9,6.88
8. Lazio,14.2,7.4,1.1,5.7,6.87
9. Torino,13.1,6.3,0.6,6.2,6.86
10. Udinese,12.8,6.3,0.7,5.8,6.85
11. Verona,12,5.2,0.5,6.3,6.84
12. Atalanta,11.8,5.4,0.7,5.7,6.83
13. Sampdoria,13.8,7.8,0.7,5.3,6.82
14. Genoa,9.9,4.2,0.9,4.8,6.79
15. Bologna,13.1,7,0.5,5.6,6.75
16. Catania,12.8,6.2,0.4,6.2,6.74
17. Cagliari,12.4,6.8,0.5,5.1,6.71
18. Sassuolo,13,6.7,0.5,5.8,6.70
19. Chievo,10.8,5.1,0.6,5.1,6.69
20. Livorno,12.8,7.9,0.4,4.5,6.66
