R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,VfB Stuttgart,39,12,13,4,7
2,Darmstadt,36,2,9,3,3
3,Hannover 96,35,10,9,7,1
4,Wolfsburg,34,12,2,1,0
5,Werder Bremen,34,6,16,6,3
6,Augsburg,32,3,11,5,1
7,Mainz 05,31,2,5,3,1
8,Eintracht Frankfurt,31,6,12,3,0
9,Hoffenheim,30,8,11,2,3
10,Schalke 04,27,6,12,2,2
11,Ingolstadt,27,5,7,3,0
12,Hertha Berlin,25,4,9,4,0
13,Borussia M.Gladbach,24,7,9,7,3
14,Hamburger SV,23,8,9,4,2
15,Bayer Leverkusen,20,3,10,6,1
16,FC Koln,20,7,12,3,0
17,Borussia Dortmund,19,6,4,4,1
18,Bayern Munich,11,2,2,1,1
