Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,7.5,14.3,13.5,11.7,3.1,7.14
2. Borussia Dortmund,8,16.6,17.4,11.5,3.3,7.06
3. Bayer Leverkusen,10.6,20.2,22.4,15.4,3.3,6.95
4. Borussia M.Gladbach,13.4,18.4,19.2,13.5,2.5,6.94
5. Schalke 04,14.4,17.9,19.1,14.9,2.3,6.90
6. Wolfsburg,11.4,16.9,17.9,13.5,2,6.85
7. Mainz 05,13.9,19.5,20.1,15.6,2.7,6.84
8. Werder Bremen,13,19.6,25.3,15.3,2.2,6.83
9. FC Koln,14.3,19.6,17.3,12.9,2.9,6.82
10. Augsburg,15.9,17.2,18.7,15.7,2,6.80
11. Hamburger SV,13.8,19.8,20.3,17,1.8,6.78
12. Ingolstadt,10.8,19.3,22.4,15.5,2.1,6.78
13. Hertha Berlin,12.6,15.7,15.7,14.1,2,6.75
14. Hoffenheim,16.2,17.9,19.8,14.1,1.9,6.74
15. Darmstadt,15,19.2,22,16.4,2.3,6.71
16. VfB Stuttgart,13.6,18.6,20.1,14.9,2.7,6.70
17. Eintracht Frankfurt,12.6,16.3,19.7,15.3,3.4,6.69
18. Hannover 96,14.9,17.6,18.2,15.3,2.3,6.67
