R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Darmstadt,15,1,68,473
2,FC Koln,17,0,68,448
3,Hannover 96,16,1,74,428
4,Hoffenheim,19,1,69,426
5,Hertha Berlin,14,0,64,421
6,Eintracht Frankfurt,13,0,70,416
7,Mainz 05,14,0,77,415
8,Augsburg,16,0,67,412
9,Werder Bremen,14,0,69,411
10,VfB Stuttgart,11,0,75,390
11,Hamburger SV,16,1,71,384
12,Schalke 04,15,0,64,375
13,Borussia M.Gladbach,14,0,70,367
14,Ingolstadt,14,0,82,363
15,Wolfsburg,12,1,64,343
16,Bayer Leverkusen,11,0,76,325
17,Borussia Dortmund,10,0,68,291
18,Bayern Munich,8,0,66,235
