R,Team,Left Side,Middle of the pitch,Right Side
1,VfB Stuttgart,38%,28%,34%
2,Borussia M.Gladbach,38%,25%,37%
3,Darmstadt,38%,30%,32%
4,FC Koln,37%,29%,34%
5,Augsburg,37%,27%,35%
6,Bayer Leverkusen,36%,27%,37%
7,Mainz 05,36%,26%,38%
8,Borussia Dortmund,36%,31%,33%
9,Hamburger SV,35%,31%,34%
10,Bayern Munich,35%,31%,34%
11,Eintracht Frankfurt,35%,26%,39%
12,Hoffenheim,35%,28%,37%
13,Hertha Berlin,34%,25%,40%
14,Schalke 04,33%,27%,39%
15,Hannover 96,33%,28%,39%
16,Werder Bremen,33%,28%,39%
17,Ingolstadt,33%,24%,43%
18,Wolfsburg,32%,26%,42%
