R,Team,Left Side,Attempts from the middle,Right Side
1,Bayern Munich,20%,61%,18%
2,Wolfsburg,19%,64%,17%
3,Bayer Leverkusen,19%,68%,13%
4,FC Koln,18%,66%,16%
5,Greuther Fuerth,18%,68%,14%
6,Hoffenheim,17%,69%,14%
7,Augsburg,17%,67%,16%
8,VfB Stuttgart,16%,67%,17%
9,Freiburg,16%,67%,17%
10,Bochum,16%,70%,14%
11,Union Berlin,16%,72%,12%
12,Mainz 05,15%,70%,15%
13,Hertha Berlin,15%,70%,15%
14,RB Leipzig,15%,68%,17%
15,Borussia Dortmund,14%,66%,19%
16,Arminia Bielefeld,13%,71%,15%
17,Borussia M.Gladbach,13%,70%,17%
18,Eintracht Frankfurt,13%,72%,15%
