R,Team,Own Third,Middle Third,Opposition Third
1,Hertha Berlin,31%,46%,23%
2,Wolfsburg,30%,45%,26%
3,Bochum,30%,42%,28%
4,Bayer Leverkusen,29%,45%,25%
5,VfB Stuttgart,29%,45%,26%
6,Arminia Bielefeld,29%,43%,28%
7,FC Koln,29%,42%,29%
8,Greuther Fuerth,29%,45%,26%
9,Augsburg,29%,43%,28%
10,Freiburg,28%,42%,29%
11,Borussia M.Gladbach,28%,46%,26%
12,Borussia Dortmund,27%,45%,28%
13,Eintracht Frankfurt,27%,44%,28%
14,Mainz 05,27%,44%,30%
15,Hoffenheim,27%,42%,30%
16,RB Leipzig,26%,46%,29%
17,Union Berlin,26%,46%,26%
18,Bayern Munich,24%,43%,33%
