R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,VfB Stuttgart,9%,59%,33%
2,Ingolstadt,9%,54%,37%
3,Darmstadt,8%,52%,40%
4,Hamburger SV,7%,55%,38%
5,Eintracht Frankfurt,7%,57%,36%
6,Hannover 96,7%,57%,36%
7,Borussia M.Gladbach,7%,56%,38%
8,Hoffenheim,7%,59%,33%
9,Bayer Leverkusen,6%,64%,31%
10,Schalke 04,6%,51%,43%
11,FC Koln,6%,51%,42%
12,Hertha Berlin,6%,54%,40%
13,Werder Bremen,6%,56%,38%
14,Borussia Dortmund,5%,58%,37%
15,Mainz 05,5%,52%,42%
16,Augsburg,5%,52%,43%
17,Wolfsburg,3%,62%,35%
18,Bayern Munich,3%,55%,43%
