Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,18.4,7.7,13.6,12.2,7.14
2. Borussia Dortmund,15.6,6.3,11.3,13.4,7.06
3. Bayer Leverkusen,14.3,5.5,10.9,14.4,6.95
4. Borussia M.Gladbach,13.4,5.6,11.5,13.6,6.94
5. Schalke 04,14.3,4.8,11,13.1,6.90
6. Wolfsburg,14.5,5.7,10.5,13.2,6.85
7. Mainz 05,11.3,4.4,9.8,14.3,6.84
8. Werder Bremen,13.4,4.5,10.4,15.2,6.83
9. FC Koln,12.2,4.8,7.1,13.6,6.82
10. Augsburg,13,4.4,7.6,12.8,6.80
11. Hamburger SV,11,3.9,8.9,13.6,6.78
12. Ingolstadt,12.5,3.8,6.6,17.1,6.78
13. Hertha Berlin,9.7,3.7,8.7,15.4,6.75
14. Hoffenheim,11.4,3.9,8.9,14.2,6.74
15. Darmstadt,10.2,3.4,3.9,15.5,6.71
16. VfB Stuttgart,14.6,5.5,10.4,12.8,6.70
17. Eintracht Frankfurt,10.7,3.9,7.7,15,6.69
18. Hannover 96,11.2,3.7,8.7,13,6.67
