Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,18.4,6.7,1.4,10.3,7.14
2. Borussia Dortmund,15.6,5.3,1.3,9,7.06
3. Bayer Leverkusen,14.3,5.6,1,7.8,6.95
4. Borussia M.Gladbach,13.4,5.3,0.6,7.5,6.94
5. Schalke 04,14.3,5.3,0.6,8.4,6.90
6. Wolfsburg,14.5,5.7,0.8,8,6.85
7. Mainz 05,11.3,3.9,0.6,6.8,6.84
8. Werder Bremen,13.4,5.1,0.9,7.5,6.83
9. FC Koln,12.2,4.2,0.5,7.6,6.82
10. Augsburg,13,5.7,0.5,6.8,6.80
11. Ingolstadt,12.5,5.9,0.6,6,6.78
12. Hamburger SV,11,4.5,0.7,5.8,6.78
13. Hertha Berlin,9.7,3.3,0.7,5.7,6.75
14. Hoffenheim,11.4,4.4,0.8,6.1,6.74
15. Darmstadt,10.2,3.6,1.1,5.5,6.71
16. VfB Stuttgart,14.6,5.4,1.3,7.9,6.70
17. Eintracht Frankfurt,10.7,3.7,0.6,6.4,6.69
18. Hannover 96,11.2,5.1,0.6,5.6,6.67
