R,Team,Own Third,Middle Third,Opposition Third
1,FC Koln,29%,48%,23%
2,Darmstadt,29%,44%,28%
3,Augsburg,29%,46%,24%
4,Hoffenheim,29%,46%,25%
5,Hamburger SV,28%,49%,23%
6,Hannover 96,28%,48%,24%
7,Hertha Berlin,28%,49%,22%
8,Mainz 05,28%,46%,25%
9,Werder Bremen,28%,46%,27%
10,Wolfsburg,27%,47%,26%
11,Schalke 04,27%,49%,24%
12,Eintracht Frankfurt,27%,47%,26%
13,Borussia M.Gladbach,26%,49%,24%
14,VfB Stuttgart,25%,47%,28%
15,Bayer Leverkusen,24%,46%,30%
16,Ingolstadt,24%,43%,32%
17,Bayern Munich,21%,46%,33%
18,Borussia Dortmund,21%,50%,29%
