R,Team,Left Side,Attempts from the middle,Right Side
1,Schalke 04,21%,61%,18%
2,Wolfsburg,20%,64%,16%
3,Mainz 05,20%,65%,16%
4,Hamburger SV,19%,65%,16%
5,VfB Stuttgart,19%,64%,17%
6,Darmstadt,19%,66%,16%
7,FC Koln,18%,65%,17%
8,Hannover 96,18%,66%,16%
9,Augsburg,18%,62%,19%
10,Hoffenheim,18%,66%,16%
11,Eintracht Frankfurt,17%,65%,18%
12,Borussia Dortmund,17%,69%,14%
13,Ingolstadt,17%,63%,20%
14,Bayern Munich,16%,66%,19%
15,Borussia M.Gladbach,16%,66%,18%
16,Werder Bremen,16%,61%,23%
17,Bayer Leverkusen,15%,66%,19%
18,Hertha Berlin,12%,70%,18%
