R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Darmstadt,11%,54%,35%
2,VfB Stuttgart,9%,54%,37%
3,Bayern Munich,8%,56%,36%
4,Borussia Dortmund,8%,58%,34%
5,Hertha Berlin,8%,58%,34%
6,Bayer Leverkusen,7%,54%,39%
7,Hoffenheim,7%,54%,39%
8,Hamburger SV,6%,52%,41%
9,Eintracht Frankfurt,6%,60%,35%
10,Werder Bremen,6%,56%,38%
11,Wolfsburg,5%,55%,39%
12,Hannover 96,5%,50%,45%
13,Mainz 05,5%,60%,34%
14,Ingolstadt,5%,48%,47%
15,Schalke 04,4%,59%,37%
16,Borussia M.Gladbach,4%,56%,40%
17,FC Koln,4%,62%,34%
18,Augsburg,4%,52%,44%
