R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,62,1,7,8,2
2,Borussia Dortmund,56,10,10,4,2
3,Borussia M.Gladbach,46,6,9,3,3
4,Wolfsburg,29,5,9,3,1
5,Bayer Leverkusen,29,9,11,2,5
6,Werder Bremen,28,2,13,6,1
7,Schalke 04,28,9,7,3,4
8,Mainz 05,28,10,7,1,0
9,Augsburg,27,1,5,7,2
10,FC Koln,26,4,5,3,0
11,Hertha Berlin,23,7,8,3,1
12,Hoffenheim,22,9,5,3,0
13,Hamburger SV,20,4,10,3,3
14,VfB Stuttgart,19,11,14,4,2
15,Eintracht Frankfurt,15,7,8,2,2
16,Darmstadt,15,5,16,2,0
17,Hannover 96,14,7,7,2,1
18,Ingolstadt,11,2,11,9,0
