R,Team,Left Side,Attempts from the middle,Right Side
1,Hoffenheim,23%,59%,18%
2,Borussia M.Gladbach,21%,60%,20%
3,Augsburg,21%,64%,15%
4,Bayer Leverkusen,19%,64%,17%
5,Schalke 04,19%,62%,19%
6,Hamburger SV,18%,62%,20%
7,Hannover 96,18%,65%,17%
8,Borussia Dortmund,18%,68%,14%
9,Wolfsburg,17%,64%,19%
10,Darmstadt,17%,67%,17%
11,FC Koln,17%,67%,16%
12,Bayern Munich,16%,68%,16%
13,VfB Stuttgart,16%,66%,17%
14,Werder Bremen,16%,67%,17%
15,Mainz 05,16%,67%,17%
16,Hertha Berlin,15%,69%,17%
17,Eintracht Frankfurt,15%,63%,22%
18,Ingolstadt,15%,66%,20%
