Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,79,18.4,462,66.4,88.0,15.7,7.14
2. Borussia Dortmund,81,15.6,390,61.0,84.5,19.2,7.06
3. Bayer Leverkusen,56,14.3,654,52.0,74.6,26.9,6.95
4. Borussia M.Gladbach,67,13.4,453,54.6,80.8,20.6,6.94
5. Schalke 04,51,14.3,641,51.9,79.8,21.5,6.90
6. Wolfsburg,47,14.5,553,55.9,82.9,19.4,6.85
7. Mainz 05,46,11.3,531,47.0,73.4,22.5,6.84
8. Werder Bremen,52,13.4,772,46.2,69.5,29.3,6.83
9. FC Koln,38,12.2,552,46.2,75.8,22.8,6.82
10. Augsburg,40,13,812,47.6,76.2,24.3,6.80
11. Hamburger SV,39,11,733,49.0,73.0,26.4,6.78
12. Ingolstadt,33,12.5,792,46.2,64.7,32.4,6.78
13. Hertha Berlin,42,9.7,663,49.9,78.6,22.1,6.75
14. Hoffenheim,40,11.4,593,47.1,75.0,17.1,6.74
15. Darmstadt,40,10.2,861,37.0,55.9,28.4,6.71
16. VfB Stuttgart,53,14.6,645,48.0,72.8,21,6.70
17. Eintracht Frankfurt,33,10.7,933,47.4,74.2,23.3,6.69
18. Hannover 96,31,11.2,660,46.7,73.7,27.3,6.67
