R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,17,1,58,679
2,Borussia Dortmund,13,1,55,597
3,Borussia M.Gladbach,10,1,70,499
4,Wolfsburg,18,0,75,473
5,Hertha Berlin,13,0,77,397
6,Schalke 04,15,1,69,396
7,Bayer Leverkusen,14,1,67,382
8,Eintracht Frankfurt,16,0,65,357
9,Hoffenheim,10,0,65,356
10,Hamburger SV,11,0,76,352
11,Hannover 96,14,0,65,349
12,FC Koln,14,0,72,342
13,VfB Stuttgart,19,0,63,338
14,Mainz 05,11,1,75,335
15,Augsburg,14,0,75,331
16,Werder Bremen,13,0,77,293
17,Ingolstadt,13,0,83,274
18,Darmstadt,12,0,75,176
