R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,22,9,61,560
2,Real Madrid,23,8,61,464
3,Valencia,22,6,63,402
4,Getafe,25,3,65,375
5,Villarreal,20,4,59,350
6,Sevilla,26,4,68,341
7,Atletico Madrid,19,4,61,340
8,Espanyol,24,4,69,322
9,Real Zaragoza,22,4,60,315
10,Tenerife,28,3,63,314
11,Deportivo La Coruna,22,2,61,312
12,Almeria,27,5,61,304
13,Xerez,21,3,62,293
14,Racing Santander,20,3,65,287
15,Real Valladolid,23,3,67,281
16,Sporting Gijon,20,3,68,273
17,Mallorca,22,3,69,264
18,Osasuna,25,3,68,263
19,Athletic Bilbao,25,2,65,257
20,Malaga,23,3,68,249
