R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Malaga,10%,44%,46%
2,Deportivo La Coruna,9%,48%,43%
3,Osasuna,9%,52%,39%
4,Athletic Bilbao,8%,49%,43%
5,Valencia,8%,53%,39%
6,Barcelona,8%,56%,36%
7,Sevilla,7%,53%,40%
8,Xerez,7%,50%,43%
9,Villarreal,7%,52%,42%
10,Almeria,7%,55%,39%
11,Getafe,6%,44%,50%
12,Real Madrid,5%,48%,47%
13,Espanyol,5%,48%,47%
14,Mallorca,4%,53%,44%
15,Real Zaragoza,4%,48%,48%
16,Real Valladolid,4%,45%,51%
17,Atletico Madrid,4%,48%,48%
18,Sporting Gijon,4%,48%,47%
19,Racing Santander,3%,46%,51%
20,Tenerife,3%,53%,43%
