Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,75,16.6,491,61.8,89.9,8.8,7.11
2. Lyon,42,12.9,484,27.6,85.0,16.7,6.84
3. Marseille,41,13.4,673,52.8,82.4,17.5,6.82
4. Rennes,38,12.2,511,50.0,80.5,18.6,6.80
5. Monaco,44,13.6,5910,19.3,82.6,15,6.74
6. Montpellier,35,12.6,535,47.9,77.9,22.6,6.74
7. Nice,41,12.1,517,54.2,87.1,10.5,6.74
8. Reims,26,12.1,465,49.5,79.8,16.3,6.74
9. Strasbourg,32,12.1,451,26.1,80.5,19.6,6.72
10. Nantes,28,11.9,502,48.3,79.3,17.4,6.72
11. Metz,27,11.1,464,46.8,78.7,17.1,6.72
12. Bordeaux,40,11.1,560,53.0,82.9,18.3,6.72
13. Lille,35,12.5,493,51.7,81.1,18.1,6.72
14. Dijon,27,12,422,47.5,79.3,20.2,6.69
15. Brest,34,11.6,452,49.6,79.9,14.9,6.68
16. Angers,28,13,412,46.2,80.1,16.9,6.65
17. Nimes,29,12.8,406,27.7,73.8,22,6.64
18. Saint-Etienne,29,11,573,48.6,78.9,19.8,6.60
19. Toulouse,22,11.3,475,45.4,78.1,17.2,6.51
20. Amiens,31,8.4,554,16.7,77.4,18,6.50
