Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,16.6,4.4,2.1,10.1,7.11
2. Lyon,12.9,5.6,0.9,6.4,6.84
3. Marseille,13.4,6.2,0.7,6.5,6.82
4. Rennes,12.2,5.5,0.8,5.9,6.80
5. Reims,12.1,4.8,0.5,6.8,6.74
6. Monaco,13.6,4.4,1,8.2,6.74
7. Montpellier,12.6,5.4,1,6.3,6.74
8. Nice,12.1,5.2,0.9,6,6.74
9. Nantes,11.9,5.6,0.5,5.8,6.72
10. Bordeaux,11.1,5.4,0.8,4.9,6.72
11. Strasbourg,12.1,4.6,0.8,6.7,6.72
12. Metz,11.1,5.5,0.5,5,6.72
13. Lille,12.5,4.6,0.5,7.4,6.72
14. Dijon,12,4.7,0.4,6.9,6.69
15. Brest,11.6,4.6,0.5,6.5,6.68
16. Angers,13,6,0.6,6.4,6.65
17. Nimes,12.8,5.9,0.8,6,6.64
18. Saint-Etienne,11,4.5,0.6,5.9,6.60
19. Toulouse,11.3,4.5,0.8,6,6.51
20. Amiens,8.4,3.6,0.5,4.3,6.50
