R,Team,Left Side,Middle of the pitch,Right Side
1,Reims,46%,20%,34%
2,Amiens,41%,23%,36%
3,Paris Saint-Germain,41%,29%,30%
4,Nantes,40%,24%,36%
5,Metz,40%,25%,35%
6,Brest,39%,20%,41%
7,Angers,39%,23%,38%
8,Dijon,39%,26%,35%
9,Nimes,38%,21%,41%
10,Lyon,38%,23%,38%
11,Toulouse,38%,24%,37%
12,Rennes,38%,22%,40%
13,Monaco,37%,25%,38%
14,Montpellier,37%,23%,41%
15,Strasbourg,36%,23%,41%
16,Nice,36%,25%,39%
17,Saint-Etienne,35%,22%,43%
18,Lille,35%,24%,40%
19,Bordeaux,34%,28%,38%
20,Marseille,34%,20%,45%
