R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Angers,17,1,57,489
2,Toulouse,21,1,58,461
3,Amiens,20,1,65,440
4,Metz,22,1,54,440
5,Dijon,21,1,57,436
6,Nantes,17,1,62,421
7,Brest,22,1,59,409
8,Saint-Etienne,16,2,61,404
9,Monaco,19,1,56,402
10,Montpellier,18,1,59,401
11,Nimes,15,1,62,398
12,Reims,19,1,57,396
13,Strasbourg,17,1,56,392
14,Rennes,19,1,58,376
15,Nice,20,1,53,370
16,Bordeaux,20,1,58,365
17,Lyon,16,1,53,359
18,Marseille,16,1,56,358
19,Lille,16,1,61,358
20,Paris Saint-Germain,13,1,50,297
