R,Team,Fouls,Unprofessional,Dive,Other
1,Saint-Etienne,48,5,0,9
2,Bordeaux,48,0,0,8
3,Reims,48,0,0,8
4,Montpellier,47,2,0,11
5,Marseille,45,5,0,20
6,Nantes,45,2,0,6
7,Nice,45,5,0,12
8,Amiens,44,2,0,15
9,Paris Saint-Germain,43,0,0,8
10,Strasbourg,42,0,0,5
11,Monaco,40,3,0,28
12,Toulouse,39,2,0,12
13,Dijon,38,1,0,6
14,Lille,37,4,0,13
15,Lyon,36,4,0,13
16,Nimes,36,3,0,10
17,Brest,36,2,0,9
18,Rennes,35,5,0,12
19,Angers,35,0,0,9
20,Metz,34,5,0,11
