Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,16.6,7.2,15,10.8,7.11
2. Lyon,12.9,4.9,12.1,11.1,6.84
3. Marseille,13.4,4.3,11.3,11.4,6.82
4. Rennes,12.2,4.1,9.3,14.4,6.80
5. Monaco,13.6,5,10.9,12.3,6.74
6. Montpellier,12.6,4.2,7.8,13.8,6.74
7. Nice,12.1,4.8,13,12.9,6.74
8. Reims,12.1,3.3,10.8,13.8,6.74
9. Strasbourg,12.1,4.1,9.5,11.5,6.72
10. Nantes,11.9,4.1,11.5,12.1,6.72
11. Metz,11.1,3.6,12,12.3,6.72
12. Bordeaux,11.1,3.9,9.8,12.9,6.72
13. Lille,12.5,4.6,11,12.3,6.72
14. Dijon,12,3.7,11.2,11.9,6.69
15. Brest,11.6,3.7,7.5,10.2,6.68
16. Angers,13,4.1,10.4,11.3,6.65
17. Nimes,12.8,3.8,8.3,14.3,6.64
18. Saint-Etienne,11,3.6,10.3,11.6,6.60
19. Toulouse,11.3,3.5,10.2,10.5,6.51
20. Amiens,8.4,3,8.8,11.4,6.50
