R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,19,3,38,624
2,Nice,14,1,46,479
3,Lyon,18,1,53,478
4,Bordeaux,15,1,54,449
5,Marseille,18,1,54,431
6,Monaco,18,2,51,428
7,Lille,19,2,56,409
8,Brest,19,1,65,397
9,Nantes,17,1,57,391
10,Angers,20,1,60,377
11,Rennes,17,1,58,373
12,Reims,19,1,59,371
13,Saint-Etienne,20,1,57,367
14,Strasbourg,21,1,67,364
15,Dijon,16,1,66,360
16,Amiens,17,1,61,357
17,Metz,16,1,63,346
18,Montpellier,22,1,70,345
19,Toulouse,19,1,56,342
20,Nimes,20,0,62,294
