R,Team,Own Third,Middle Third,Opposition Third
1,Nice,30%,45%,25%
2,Brest,29%,46%,25%
3,Reims,29%,45%,26%
4,Dijon,29%,46%,25%
5,Toulouse,28%,46%,26%
6,Bordeaux,28%,50%,22%
7,Rennes,28%,47%,24%
8,Metz,28%,48%,24%
9,Montpellier,27%,46%,28%
10,Saint-Etienne,26%,49%,26%
11,Strasbourg,26%,47%,27%
12,Nimes,26%,46%,28%
13,Amiens,26%,49%,25%
14,Lyon,26%,47%,26%
15,Nantes,25%,48%,27%
16,Monaco,25%,47%,29%
17,Angers,25%,49%,27%
18,Marseille,24%,47%,28%
19,Paris Saint-Germain,22%,48%,31%
20,Lille,22%,48%,30%
