R,Team,Left Side,Attempts from the middle,Right Side
1,Nantes,28%,58%,14%
2,Reims,24%,57%,19%
3,Saint-Etienne,23%,55%,22%
4,Lyon,23%,59%,18%
5,Brest,23%,55%,22%
6,Dijon,22%,64%,14%
7,Amiens,21%,62%,17%
8,Metz,21%,61%,18%
9,Montpellier,20%,65%,15%
10,Nice,20%,58%,22%
11,Marseille,19%,69%,12%
12,Bordeaux,19%,62%,19%
13,Nimes,18%,65%,17%
14,Angers,18%,64%,18%
15,Monaco,17%,66%,18%
16,Rennes,17%,63%,20%
17,Toulouse,16%,69%,15%
18,Lille,16%,69%,15%
19,Paris Saint-Germain,16%,70%,14%
20,Strasbourg,14%,69%,17%
