R,Team,Fouls,Unprofessional,Dive,Other
1,Malaga,90,13,4,38
2,Real Zaragoza,88,10,2,34
3,Espanyol,83,5,3,33
4,Athletic Bilbao,80,2,0,24
5,Xerez,80,5,2,31
6,Getafe,80,3,3,29
7,Valencia,79,6,1,33
8,Racing Santander,79,6,2,25
9,Sevilla,75,10,0,28
10,Real Valladolid,74,8,3,28
11,Tenerife,74,0,1,20
12,Atletico Madrid,70,1,1,27
13,Sporting Gijon,69,8,0,29
14,Osasuna,67,1,3,22
15,Real Madrid,62,6,0,26
16,Mallorca,61,2,0,38
17,Almeria,61,5,2,38
18,Villarreal,60,9,1,35
19,Barcelona,50,4,0,27
20,Deportivo La Coruna,39,4,3,27
