R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Xerez,41,8,11,4,2
2,Tenerife,41,10,17,5,1
3,Athletic Bilbao,37,1,12,3,0
4,Atletico Madrid,37,1,17,5,1
5,Real Zaragoza,37,10,16,1,0
6,Villarreal,35,3,13,6,0
7,Racing Santander,33,3,16,6,1
8,Almeria,33,4,15,1,1
9,Real Valladolid,32,8,19,2,1
10,Deportivo La Coruna,32,4,8,3,2
11,Sevilla,30,4,11,1,3
12,Osasuna,29,5,9,2,1
13,Getafe,29,6,12,1,0
14,Mallorca,27,4,10,3,0
15,Valencia,25,5,7,2,1
16,Espanyol,25,2,12,6,1
17,Malaga,25,2,15,4,2
18,Sporting Gijon,24,5,19,3,0
19,Real Madrid,21,0,10,2,2
20,Barcelona,13,2,6,1,2
