R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Sporting Gijon,26,4,70,385
2,Deportivo La Coruna,27,4,69,375
3,Xerez,26,4,62,362
4,Athletic Bilbao,24,4,65,361
5,Mallorca,24,5,68,354
6,Almeria,26,4,60,345
7,Racing Santander,24,4,72,341
8,Villarreal,22,4,68,337
9,Osasuna,26,3,68,334
10,Malaga,24,3,65,334
11,Atletico Madrid,23,4,62,328
12,Espanyol,25,3,61,322
13,Real Zaragoza,21,4,69,322
14,Tenerife,20,5,62,313
15,Real Valladolid,24,4,69,312
16,Real Madrid,18,3,58,309
17,Sevilla,21,4,59,305
18,Getafe,22,4,62,297
19,Valencia,21,4,63,293
20,Barcelona,16,3,53,240
