R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Real Madrid,64,10,21,7,0
2,Barcelona,61,6,25,3,3
3,Valencia,41,7,8,3,0
4,Villarreal,39,7,12,0,0
5,Getafe,36,6,9,6,1
6,Atletico Madrid,34,6,13,3,1
7,Mallorca,31,6,16,4,2
8,Sevilla,29,5,24,5,2
9,Athletic Bilbao,28,2,13,5,2
10,Racing Santander,27,2,9,4,0
11,Real Zaragoza,25,2,13,4,2
12,Osasuna,24,1,9,2,1
13,Tenerife,23,2,13,2,0
14,Almeria,23,7,9,2,2
15,Malaga,22,1,19,0,0
16,Xerez,22,4,10,2,0
17,Espanyol,21,3,5,0,0
18,Real Valladolid,20,2,10,2,3
19,Sporting Gijon,20,5,6,4,1
20,Deportivo La Coruna,16,3,12,3,1
