Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,98,15.6,745,63.7,87.0,8.3,7.30
2. Real Madrid,102,21.5,875,57.0,83.3,9.9,7.27
3. Valencia,59,14.3,1078,54.4,78.3,9.2,6.96
4. Mallorca,59,12.8,954,46.5,71.5,12.7,6.95
5. Sevilla,66,13.2,9910,52.1,75.0,12.3,6.91
6. Athletic Bilbao,50,12.8,9210,45.7,69.9,14.8,6.90
7. Villarreal,58,12.7,8911,50.4,75.2,9.2,6.87
8. Almeria,43,11.7,967,48.6,74.3,8.1,6.86
9. Getafe,58,14.7,1094,53.6,78.5,8.3,6.85
10. Malaga,41,11.7,13010,46.2,69.1,9.7,6.84
11. Atletico Madrid,57,14.6,877,50.5,73.4,10.2,6.80
12. Real Zaragoza,46,12.8,1256,49.3,73.0,10.4,6.80
13. Racing Santander,42,10.8,1007,47.5,71.4,11.3,6.78
14. Tenerife,40,14.2,894,50.8,72.1,12.2,6.78
15. Real Valladolid,37,13.3,9811,48.5,70.5,12.1,6.76
16. Sporting Gijon,36,10.9,976,45.1,71.4,9.5,6.76
17. Espanyol,29,12.2,1089,50.5,74.3,10.2,6.75
18. Osasuna,37,11.1,819,46.6,66.9,12.1,6.74
19. Deportivo La Coruna,35,10.4,646,46.6,75.0,9.1,6.72
20. Xerez,40,9.5,9714,46.5,70.8,10,6.64
