R,Team,Own Third,Middle Third,Opposition Third
1,Deportivo La Coruna,31%,44%,25%
2,Xerez,30%,46%,24%
3,Athletic Bilbao,29%,42%,28%
4,Espanyol,29%,45%,26%
5,Almeria,29%,46%,25%
6,Getafe,29%,44%,27%
7,Mallorca,28%,44%,28%
8,Racing Santander,28%,44%,27%
9,Osasuna,28%,44%,29%
10,Malaga,28%,44%,27%
11,Sporting Gijon,28%,46%,26%
12,Real Valladolid,27%,43%,29%
13,Valencia,27%,45%,28%
14,Atletico Madrid,27%,46%,27%
15,Villarreal,27%,45%,29%
16,Real Zaragoza,26%,47%,27%
17,Sevilla,26%,44%,30%
18,Tenerife,25%,45%,29%
19,Real Madrid,23%,46%,30%
20,Barcelona,23%,49%,28%
