Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,15.6,6.7,11.7,16.4,7.30
2. Real Madrid,21.5,8.6,11.4,16.2,7.27
3. Valencia,14.3,5.5,8.4,13.2,6.96
4. Mallorca,12.8,4.9,8.5,14.9,6.95
5. Sevilla,13.2,4.9,8.2,17.2,6.91
6. Athletic Bilbao,12.8,4.7,7.8,15.4,6.90
7. Villarreal,12.7,5.7,7,17.8,6.87
8. Almeria,11.7,3.8,8.1,15.7,6.86
9. Getafe,14.7,5.5,7.1,14.3,6.85
10. Malaga,11.7,3.8,5.5,14.4,6.84
11. Atletico Madrid,14.6,5.4,8.9,14.9,6.80
12. Real Zaragoza,12.8,4.2,6.2,16.2,6.80
13. Racing Santander,10.8,3.7,4.6,13.3,6.78
14. Tenerife,14.2,4.4,6.5,14.4,6.78
15. Real Valladolid,13.3,4,6.7,14.8,6.76
16. Sporting Gijon,10.9,4,6.8,12,6.76
17. Espanyol,12.2,3.5,6.6,15.1,6.75
18. Osasuna,11.1,3.8,4.8,14.8,6.74
19. Deportivo La Coruna,10.4,3.3,4.6,14.4,6.72
20. Xerez,9.5,3.3,6.3,13.8,6.64
