Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,8.5,20.3,20.6,13.5,3.6,7.30
2. Real Madrid,10.3,20.7,21.6,15.4,3.7,7.27
3. Valencia,12.2,20.9,17.6,16.6,3.4,6.96
4. Mallorca,11.9,19.7,23.2,17.7,2.5,6.95
5. Sevilla,12.3,17.1,17.8,15.8,2.2,6.91
6. Athletic Bilbao,14.9,20.2,23.5,15,2.6,6.90
7. Villarreal,11,21.5,21.4,14,2.5,6.87
8. Almeria,16.7,20.2,23.5,16.5,3.2,6.86
9. Getafe,13.1,18.8,18.7,13.9,2.1,6.85
10. Malaga,13.3,19.1,20.7,17.6,2.7,6.84
11. Atletico Madrid,13.5,20,18.3,16.1,2.1,6.80
12. Real Zaragoza,12.2,22.7,18.3,17.9,2.9,6.80
13. Racing Santander,13.8,19.8,20.8,19,3.8,6.78
14. Tenerife,12.4,21.1,25.4,16.1,2.6,6.78
15. Real Valladolid,12.4,20.6,20.4,16.7,3,6.76
16. Sporting Gijon,14.1,22.3,18.1,15.7,3.4,6.76
17. Espanyol,12.8,19.2,19.5,16.3,3.5,6.75
18. Osasuna,13.8,16,17.4,16.3,2.7,6.74
19. Deportivo La Coruna,15.8,19.6,12.6,12.9,3.2,6.72
20. Xerez,15.8,19.6,15.2,15.2,3,6.64
