Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,15.6,5.6,1.2,8.8,7.30
2. Real Madrid,21.5,9.8,1.1,10.7,7.27
3. Valencia,14.3,5.4,1.1,7.8,6.96
4. Mallorca,12.8,5.4,0.4,6.9,6.95
5. Sevilla,13.2,5.1,0.9,7.3,6.91
6. Athletic Bilbao,12.8,5.3,1.1,6.4,6.90
7. Villarreal,12.7,5.1,0.8,6.8,6.87
8. Almeria,11.7,4.3,0.8,6.6,6.86
9. Getafe,14.7,7.2,0.9,6.6,6.85
10. Malaga,11.7,5.1,1.1,5.5,6.84
11. Atletico Madrid,14.6,6.9,0.6,7,6.80
12. Real Zaragoza,12.8,6,0.6,6.3,6.80
13. Tenerife,14.2,5.9,0.5,7.8,6.78
14. Racing Santander,10.8,5.4,0.4,5.1,6.78
15. Sporting Gijon,10.9,5.1,0.5,5.4,6.76
16. Real Valladolid,13.3,6.7,0.6,6.1,6.76
17. Espanyol,12.2,5.7,0.6,6,6.75
18. Osasuna,11.1,4.2,1,5.9,6.74
19. Deportivo La Coruna,10.4,4.4,0.9,5.1,6.72
20. Xerez,9.5,4.1,0.6,4.9,6.64
