R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Burnley,47,8,20,5,2
2,Bolton,44,3,13,3,4
3,Wigan,44,4,23,7,1
4,West Ham,42,3,13,5,3
5,Hull,41,6,16,7,5
6,Portsmouth,34,1,20,8,3
7,Blackburn,33,6,13,2,1
8,Sunderland,32,4,13,5,2
9,Wolverhampton Wanderers,30,4,14,5,3
10,Everton,29,3,14,0,3
11,Stoke,26,0,18,3,1
12,Birmingham,25,3,15,3,1
13,Fulham,25,2,12,2,5
14,Tottenham,23,3,9,6,0
15,Manchester City,22,0,17,5,1
16,Aston Villa,19,4,7,6,3
17,Manchester United,17,3,6,2,0
18,Liverpool,16,2,12,3,2
19,Arsenal,12,6,16,5,2
20,Chelsea,9,3,15,4,1
