Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Chelsea,21.9,7.6,8.6,12.3,7.30
2. Tottenham,17.9,5.9,9,13.2,7.19
3. Manchester United,18.3,5.8,8.7,11.7,7.19
4. Arsenal,17.4,6.1,11.9,14,7.17
5. Aston Villa,13.1,4.2,4.9,11.4,7.06
6. Manchester City,13.8,5.1,7.7,12.8,7.06
7. Liverpool,16.9,5,8.1,12.8,7.04
8. Everton,15.5,5.1,5.8,14.3,7.00
9. Birmingham,11.9,4.1,6.3,13.2,6.91
10. Sunderland,11.7,4.2,5.7,11.8,6.89
11. West Ham,14.4,5,7.2,13.5,6.88
12. Fulham,12.2,3.8,3.9,11.8,6.86
13. Bolton,14.7,4.3,5.2,12.3,6.85
14. Stoke,10.6,3,3.9,10.3,6.82
15. Wigan,14.6,4.6,8.9,12.7,6.81
16. Blackburn,12.9,4.2,4.4,12.1,6.80
17. Portsmouth,14,4,6,11.8,6.72
18. Wolverhampton Wanderers,11.5,3.1,3.6,11,6.71
19. Burnley,12.1,4,6,12.2,6.67
20. Hull,10.2,3.2,4.7,13.6,6.64
