R,Team,Left Side,Attempts from the middle,Right Side
1,Chelsea,22%,61%,17%
2,Liverpool,19%,64%,17%
3,West Ham,18%,69%,14%
4,Stoke,18%,64%,19%
5,Tottenham,18%,62%,20%
6,Everton,18%,63%,19%
7,Fulham,18%,66%,16%
8,Blackburn,17%,68%,14%
9,Manchester United,17%,67%,16%
10,Manchester City,17%,66%,17%
11,Hull,17%,65%,18%
12,Portsmouth,17%,65%,18%
13,Arsenal,16%,67%,17%
14,Sunderland,16%,67%,17%
15,Birmingham,16%,66%,17%
16,Wolverhampton Wanderers,16%,67%,17%
17,Bolton,15%,66%,19%
18,Burnley,15%,67%,18%
19,Aston Villa,14%,72%,15%
20,Wigan,14%,69%,17%
