Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Chelsea,21.9,9.9,1.7,10.4,7.30
2. Manchester United,18.3,7.4,0.9,10,7.19
3. Tottenham,17.9,8.5,1.2,8.3,7.19
4. Arsenal,17.4,7.1,1,9.3,7.17
5. Aston Villa,13.1,5.1,1.3,6.7,7.06
6. Manchester City,13.8,5.7,1.1,7,7.06
7. Liverpool,16.9,7.8,1.4,7.7,7.04
8. Everton,15.5,7.1,1,7.4,7.00
9. Birmingham,11.9,5.2,1.1,5.6,6.91
10. Sunderland,11.7,5.2,0.7,5.7,6.89
11. West Ham,14.4,6.9,0.6,7,6.88
12. Fulham,12.2,6,0.8,5.3,6.86
13. Bolton,14.7,6.7,1.4,6.6,6.85
14. Stoke,10.6,3.9,1.2,5.5,6.82
15. Wigan,14.6,8.1,1,5.5,6.81
16. Blackburn,12.9,4.8,1.4,6.6,6.80
17. Portsmouth,14,7.2,1,5.9,6.72
18. Wolverhampton Wanderers,11.5,4.6,1,5.8,6.71
19. Burnley,12.1,6,0.6,5.6,6.67
20. Hull,10.2,5.2,0.6,4.4,6.64
