Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Chelsea,9.8,20.3,18.6,12.4,2.5,7.30
2. Tottenham,13.7,22.2,21.2,12.2,3.1,7.19
3. Manchester United,10.9,21.8,15.8,11.7,2.2,7.19
4. Arsenal,10.1,21.5,22.1,12.4,2.4,7.17
5. Aston Villa,16,23.2,18.2,13.4,2.1,7.06
6. Manchester City,13.5,21.1,21.2,11.9,3.2,7.06
7. Liverpool,10.2,25.2,20.1,12.2,1.6,7.04
8. Everton,13.3,20.2,21.8,13.4,2.5,7.00
9. Birmingham,17.3,20.7,20.4,11.9,2.6,6.91
10. Sunderland,16.3,23.4,21.8,14.6,2.4,6.89
11. West Ham,15.9,21.8,19.9,14.2,2.4,6.88
12. Fulham,14.6,19.6,19.8,12.3,2.4,6.86
13. Bolton,16.2,24,19.3,14.8,1.5,6.85
14. Stoke,15.3,19.1,19.4,13,2.3,6.82
15. Wigan,14.3,23.9,19.6,13.4,1.3,6.81
16. Blackburn,13.4,18.7,19.2,14.8,3.3,6.80
17. Portsmouth,15.4,20.4,17.9,13.5,2.4,6.72
18. Wolverhampton Wanderers,15.5,18.6,14.1,13.8,1.7,6.71
19. Burnley,16.7,18.1,17.4,12.1,1.7,6.67
20. Hull,17.3,20,17.7,14.7,2.3,6.64
