R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Stoke,11%,52%,37%
2,Blackburn,11%,51%,38%
3,Aston Villa,10%,51%,39%
4,Bolton,9%,45%,46%
5,Birmingham,9%,47%,44%
6,Wolverhampton Wanderers,9%,51%,40%
7,Chelsea,8%,47%,45%
8,Liverpool,8%,46%,46%
9,Manchester City,8%,51%,41%
10,Portsmouth,7%,42%,51%
11,Fulham,7%,44%,49%
12,Wigan,7%,38%,55%
13,Arsenal,6%,53%,41%
14,Sunderland,6%,49%,45%
15,Tottenham,6%,46%,47%
16,Everton,6%,48%,46%
17,Hull,6%,43%,51%
18,Manchester United,5%,55%,40%
19,Burnley,5%,46%,49%
20,West Ham,4%,49%,48%
